,areaname,population,date,newcasesbypublishdate,cases_per_100k
336,East Midlands,4533000,02/11/2020,1542,34.01720714758438
2480,North West,7300000,02/11/2020,3246,44.465753424657535
1408,London,8899375,02/11/2020,1739,19.54069808273053
5853,Scotland,5454000,02/11/2020,951,17.436743674367438
3016,South East,9175000,02/11/2020,1625,17.71117166212534
3552,South West,5616000,02/11/2020,1084,19.301994301994302
5253,Northern Ireland,1885000,02/11/2020,493,26.153846153846153
4088,West Midlands,2928000,02/11/2020,1726,58.94808743169399
1944,North East,2597000,02/11/2020,1039,40.00770119368502
872,East of England,5847000,02/11/2020,867,14.82811698306824
4646,Wales,3136000,02/11/2020,1646,52.48724489795918
5823,Scotland,5454000,02/12/2020,951,17.436743674367438
2450,North West,7300000,02/12/2020,1719,23.547945205479454
4616,Wales,3136000,02/12/2020,1480,47.19387755102041
1378,London,8899375,02/12/2020,2614,29.372849216939393
1914,North East,2597000,02/12/2020,590,22.718521370812475
2986,South East,9175000,02/12/2020,2210,24.08719346049046
3522,South West,5616000,02/12/2020,649,11.556267806267806
5223,Northern Ireland,1885000,02/12/2020,416,22.068965517241377
4058,West Midlands,2928000,02/12/2020,1495,51.05874316939891
306,East Midlands,4533000,02/12/2020,1275,28.12706816677697
842,East of England,5847000,02/12/2020,1321,22.592782623567643
4584,Wales,3136000,03/01/2021,4011,127.90178571428571
3490,South West,5616000,03/01/2021,2337,41.613247863247864
810,East of England,5847000,03/01/2021,6700,114.5886779545066
1346,London,8899375,03/01/2021,14212,159.6966079078587
2418,North West,7300000,03/01/2021,6178,84.63013698630138
2954,South East,9175000,03/01/2021,9022,98.33242506811989
4026,West Midlands,2928000,03/01/2021,2934,100.20491803278688
1882,North East,2597000,03/01/2021,1566,60.300346553715826
5791,Scotland,5454000,03/01/2021,2464,45.177851118445176
5191,Northern Ireland,1885000,03/01/2021,1662,88.16976127320955
274,East Midlands,4533000,03/01/2021,1782,39.311714096624755
779,East of England,5847000,03/02/2021,1764,30.169317598768597
1851,North East,2597000,03/02/2021,900,34.6553715825953
5160,Northern Ireland,1885000,03/02/2021,504,26.73740053050398
2387,North West,7300000,03/02/2021,2582,35.369863013698634
2923,South East,9175000,03/02/2021,2330,25.39509536784741
1315,London,8899375,03/02/2021,2973,33.40684036800337
5760,Scotland,5454000,03/02/2021,978,17.931793179317932
4553,Wales,3136000,03/02/2021,455,14.508928571428571
3995,West Midlands,2928000,03/02/2021,2325,79.40573770491804
3459,South West,5616000,03/02/2021,942,16.773504273504273
243,East Midlands,4533000,03/02/2021,1720,37.94396646812266
6097,Scotland,5454000,03/03/2020,0,0.0
4890,Wales,3136000,03/03/2020,0,0.0
751,East of England,5847000,03/03/2021,456,7.79887121600821
2359,North West,7300000,03/03/2021,923,12.643835616438356
4525,Wales,3136000,03/03/2021,208,6.63265306122449
3431,South West,5616000,03/03/2021,274,4.878917378917379
1287,London,8899375,03/03/2021,504,5.6633190533043045
3967,West Midlands,2928000,03/03/2021,755,25.78551912568306
1823,North East,2597000,03/03/2021,407,15.671929149018096
2895,South East,9175000,03/03/2021,490,5.340599455040872
5732,Scotland,5454000,03/03/2021,543,9.955995599559957
215,East Midlands,4533000,03/03/2021,657,14.493712772998014
